index,host,port,hash,hash_prev,merkle_root,timestamp
2,127.0.0.1,4002,274b,9e1c,e971,1607404054.3351068
3,127.0.0.1,4004,6484,274b,e085,1607404086.6279447
4,127.0.0.1,4009,3a73,6484,bfc9,1607404098.3619869
5,127.0.0.1,4007,da59,3a73,a603,1607404103.3679688
6,127.0.0.1,5000,4751,da59,6363,1607404117.8579865
7,127.0.0.1,4009,cb48,4751,6031,1607404129.397652
8,127.0.0.1,5000,8b02,cb48,18b1,1607404142.9639747
9,127.0.0.1,5000,d91d,8b02,ebdd,1607404193.0119903
10,127.0.0.1,4008,a74f,d91d,6fd0,1607404295.5576272
11,127.0.0.1,4000,88e6,a74f,8076,1607404377.763104
12,127.0.0.1,4001,f470,88e6,e6ee,1607404456.617076
13,127.0.0.1,4009,1f54,f470,990e,1607404487.7391076
14,127.0.0.1,4000,5198,1f54,46ed,1607404488.901853
15,127.0.0.1,4004,e6e5,5198,b92a,1607404502.3119786
16,127.0.0.1,4005,d781,e6e5,57fd,1607404601.4061909
